"filename", "language", "Dart", "YAML", "JSON", "Markdown", "comment", "blank", "total"
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/onboarding_title_text.dart", "Dart", 37, 0, 0, 0, 0, 3, 40
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/password_field.dart", "Dart", 102, 0, 0, 0, 0, 10, 112
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/progress_indicator.dart", "Dart", 50, 0, 0, 0, 13, 4, 67
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/rewind_button.dart", "Dart", 27, 0, 0, 0, 0, 3, 30
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/search_field.dart", "Dart", 78, 0, 0, 0, 1, 9, 88
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/settings_tile.dart", "Dart", 36, 0, 0, 0, 13, 5, 54
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/shaded_container.dart", "Dart", 31, 0, 0, 0, 14, 4, 49
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/step_counter_bar.dart", "Dart", 125, 0, 0, 0, 2, 11, 138
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/suggestion_header.dart", "Dart", 101, 0, 0, 0, 3, 6, 110
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/tags_row.dart", "Dart", 127, 0, 0, 0, 0, 12, 139
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/titled_app_bar.dart", "Dart", 99, 0, 0, 0, 0, 7, 106
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/top_padding.dart", "Dart", 18, 0, 0, 0, 13, 5, 36
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/typing_indicator.dart", "Dart", 98, 0, 0, 0, 13, 15, 126
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/pubspec.yaml", "YAML", 0, 59, 0, 0, 17, 21, 97
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/test/widget_test.dart", "Dart", 0, 0, 0, 0, 24, 7, 31
"Total", "-", 7853, 60, 1232, 17, 1945, 1199, 12306
